Statistic Label,Year,Commodity Group,Countries and Territories,UNIT,VALUE,Commodity Name,Code,Category,Country Code
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Latvia,Euro Thousand,27.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,LVA
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Malta,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,MLT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Mexico,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,MEX
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Malaysia,Euro Thousand,5.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,MYS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Netherlands,Euro Thousand,4696.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,NLD
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Norway,Euro Thousand,5664.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,NOR
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Poland,Euro Thousand,1470.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,POL
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Portugal,Euro Thousand,716.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,PRT
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Romania,Euro Thousand,15.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,ROU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Russia,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,RUS
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Saudi Arabia,Euro Thousand,381.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,SAU
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Sweden,Euro Thousand,610.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,SWE
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Singapore,Euro Thousand,25.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,SGP
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Slovenia,Euro Thousand,-1.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,SVN
Value of Imports,2015,"Fish, crustaceans, molluscs and preparations thereof (03)",Slovakia,Euro Thousand,29.0,"Fish, crustaceans, molluscs and preparations thereof",3.0,Food & Beverages,SVK
